net,length_um
clknet_2_1_0_clk,339.51
rf._04024_,338.825
rf._05412_,338.46
rf._04555_,336.7
rf._05377_,336.32
rf._04926_,333.34
rf._04952_,333
rf._05008_,332.33
rf._04576_,331.98
rf._02213_,330.52
alu_inst.y\[11\],330.4
clknet_2_3_0_clk,329.86
rf._05229_,329.55
rf._04563_,329.46
rf._02944_,328.92
rf._05393_,327.78
rf._03931_,327.695
rf._02212_,327.1
rf._04914_,327.06
rf._01312_,327.02
rf._04561_,324.08
rf._05410_,323.82
rf._05408_,322
rf._05044_,321.99
rf._05141_,321.06
rf._05009_,320.78
rf._04613_,320.41
rf._02838_,320.29
rf._04603_,320.1
net22,320.1
rf._03191_,318.48
rf._03926_,318.38
rf._04580_,316.96
clknet_2_2_0_clk,316.33
rf._04652_,316.02
rf._04559_,315.66
rf._05406_,314.2
alu_inst.y\[24\],314
rf._04557_,313.02
rf._02203_,312.36
rf._01099_,312.015
rf._04820_,311.24
rf._05379_,310.96
net4,310.72
rf._05437_,307.7
rf._05772_,307.58
ctrl.alu_src,306.16
rf._04587_,306.05
rf._05439_,305.54
rf._04912_,305.46
rf._05215_,304.72
rf._03771_,304.33
rf._05404_,304.2
net26,303.74
rf._05638_,301.88
rf._02244_,301.77
rf._04968_,301.28
alu_inst.y\[22\],300.88
rf._05104_,300.24
rf._05031_,298.8
rf._01112_,298.1
rf._05590_,297.92
rf._04551_,297.3
rf._05480_,297.255
rf._01935_,296.735
rf._05300_,296.69
net18,296.68
rf._03615_,296.42
rf._02295_,295.995
rf._05391_,295.66
rf._05251_,295.16
rf._04784_,291.89
net28,291.66
rf._05265_,291.02
rf._01063_,290.95
rf._05178_,290.8
rf._05539_,290.7
rf._01047_,290.42
rf._02985_,289.54
net11,288.94
rf._04549_,288.12
rf._05389_,286.2
rf._02976_,286.04
rf._03859_,285.8
rf._03197_,285.26
net12,284.38
alu_inst.y\[15\],283.08
rf._02822_,282.8
rf._01769_,282.6
rf._01116_,281.84
rf._05228_,281.52
rf._04545_,281.08
alu_inst.y\[20\],280.64
rf._02833_,280.22
rf._04547_,279.935
rf._03664_,278.53
rf._01311_,277.82
rf._02095_,277.74
rf._03805_,277.68
rf._03509_,277.28
rf._01032_,277.02
rf._02250_,276.77
rf._05612_,276.72
rf._01059_,276.36
rf._01188_,275.8
rf._04688_,275.71
rf._01028_,274.97
rf._05045_,274.45
rf._02349_,274.12
rf._01339_,272.3
rf._03147_,272.2
rf._03951_,272.16
rf._01308_,271.72
alu_inst.y\[18\],271.28
rf._03144_,270.23
rf._02251_,269.13
rf._05082_,268.7
rf._05301_,268.48
rf._02844_,268.38
rf._04066_,267.26
rf._03881_,266.52
rf._02352_,265.66
rf._02087_,265.62
rf._02929_,264.24
rf._01908_,262.48
rf._03102_,262.2
rf._01355_,261.68
rf._04069_,261.3
rf._05387_,261.26
rf._01864_,260.7
rf._02841_,259.975
rf._02009_,259.85
rf._05287_,259.38
rf._05020_,259.14
rf._03472_,258.92
rf._04931_,257.66
rf._04798_,257.62
rf._05276_,257.33
rf._03607_,256.78
rf._02922_,256.24
rf._01861_,255.73
rf._05601_,255.36
rf._05359_,255.19
rf._01440_,254.92
rf._03640_,254.25
rf._01873_,254.2
rf._01071_,254.19
rf._05747_,252.94
rf._03857_,251.64
rf._05554_,251.005
rf._02219_,250.64
rf._04809_,249.96
rf._05204_,249.96
rf._05119_,249.66
rf._03741_,249.54
rf._01980_,249.3
rf._01076_,248.96
net6,248.26
rf._02240_,248.08
rf._01879_,248.06
rf._05627_,247.78
rf._05565_,247.58
rf._05794_,247.51
rf._02089_,247.38
rf._02921_,247.36
rf._03251_,247.2
rf._03667_,247.2
rf._01133_,246.98
rf._03953_,246.9
rf._05323_,246.57
rf._03918_,246.5
rf._03300_,246.16
rf._03873_,245.67
rf._04614_,245.66
rf._03011_,245.56
rf._01874_,245.39
rf._02255_,243.79
rf._04050_,243.54
rf._03558_,243.26
rf._04883_,243.01
rf._03315_,242.58
rf._03544_,242.38
rf._05576_,242.3
rf._04710_,242.11
imem_inst.instr\[23\],241.98
rf._03326_,241.64
rf._01441_,241.32
rf._05312_,241.16
rf._02119_,241
rf._03272_,239.875
rf._03559_,239.82
rf._03492_,239
rf._04699_,238.63
rf._01132_,238.44
rf._03833_,237.26
rf._04674_,237.06
rf._05465_,236.94
rf._03424_,236.71
rf._03784_,236.57
rf._05348_,236.46
rf._05517_,235.8
rf._01667_,235.18
net2,235.16
rf._04004_,234.44
rf._05649_,234.24
rf._05056_,234.07
rf._03751_,233.94
rf._02202_,233.17
rf._01205_,232.54
rf._02241_,231.83
rf._01448_,231.28
rf._03247_,231
rf._05736_,230.48
rf._01669_,230.45
alu_inst.y\[28\],230.4
rf._02959_,229.95
rf._05067_,229.88
rf._01535_,229.56
rf._02120_,229.26
rf._02225_,228.82
rf._05675_,228.72
rf._02143_,227.57
rf._05193_,227.48
rf._03107_,227.28
rf._05156_,227.18
rf._01800_,227
rf._02900_,226.87
rf._03238_,226.86
rf._05664_,226.73
rf._04858_,226.7
rf._04872_,226.635
rf._02210_,226.04
rf._03001_,225.87
rf._01030_,225.07
rf._05700_,224.655
rf._04847_,224.59
rf._03208_,224.44
rf._01758_,224.405
rf._02135_,224.265
rf._03870_,224.16
rf._03984_,224.11
rf._01259_,223.68
rf._05443_,223.3
rf._03730_,222.965
rf._01450_,222.92
rf._04894_,222.18
rf._03574_,222.15
rf._03677_,222.05
rf._03952_,221.875
rf._03518_,221.64
rf._01572_,221.42
rf._01369_,221.18
alu_inst.y\[27\],221.1
rf._03680_,220.19
rf._03418_,220.02
rf._05375_,219.58
rf._01591_,219.28
rf._05240_,218.9
rf._03041_,218.52
rf._01247_,218.21
rf._03131_,217.5
alu_inst.y\[1\],216.82
rf._05502_,216.74
rf._05417_,216.38
rf._03134_,216.06
rf._01558_,215.54
rf._05454_,215.42
rf._01118_,215.2
rf._03756_,215.2
rf._03744_,214.595
rf._03705_,214.4
rf._03316_,214.16
rf._03310_,214.015
rf._03960_,213.88
rf._02127_,213.58
rf._04773_,213.57
rf._03749_,212.76
rf._04762_,212.08
rf._01326_,211.12
rf._04636_,210.735
rf._01349_,210.635
rf._03313_,210.55
rf._02942_,210.4
rf._02817_,210.15
rf._01321_,209.74
alu_inst.y\[6\],209.58
rf._01054_,209.01
rf._02938_,208.98
rf._03635_,208.76
rf._04566_,207.75
rf._05093_,207.68
_037_,207.53
rf._01382_,207.44
rf._01992_,207.3
rf._01743_,207.02
_034_,206.96
alu_inst._128_,206.66
rf._02117_,206.62
rf._03399_,206.27
rf._01993_,205.92
rf._01140_,205.82
rf._01543_,205.8
rf._03650_,205.78
rf._01648_,205.32
rf._01920_,204.76
rf._01567_,204.36
rf._01320_,204.05
rf._03724_,203.69
rf._01777_,203.58
rf._02201_,203.575
rf._02821_,203.16
rf._03117_,203.08
rf._02110_,203
rf._05396_,202.89
rf._04725_,202.62
rf._03600_,202.5
rf._01216_,202.44
rf._04736_,202.44
rf._03863_,202.15
rf._02015_,202.06
rf._05758_,201.835
rf._02102_,201.56
rf._01445_,201.28
rf._03537_,201.2
rf._03762_,200.97
rf._01812_,200.585
rf._03366_,200.41
rf._03074_,200.36
rf._03386_,199.96
rf._01689_,199.67
rf._03229_,199.52
rf._01797_,198.72
rf._05686_,198.68
rf._03534_,198.6
rf._01922_,198.52
rf.regs\[30\]\[6\],198.44
rf._03419_,198.21
rf._01367_,197.775
rf._03340_,197.72
rf._05167_,196.66
rf._03172_,196.54
rf._01244_,196.205
rf._01457_,196.16
rf._01692_,195.94
rf._03082_,195.84
rf._02124_,195.34
rf._03428_,195.12
rf._03846_,194.895
rf._01081_,194.86
rf._02002_,194.82
rf._03460_,194.66
rf._01190_,194.475
rf._04747_,194.26
rf._01649_,194.04
rf._04910_,193.48
rf._02141_,193.46
rf._04625_,192.92
rf._01661_,192.68
rf._03848_,192.44
rf._02026_,192.38
rf._03421_,191.94
rf._01537_,191.92
rf._03218_,191.92
rf._03004_,191.9
rf._02200_,191.79
rf._03476_,191.35
rf._01673_,191.32
rf._03780_,190.57
rf._01550_,190.45
rf._03211_,189.48
rf._01565_,189.44
rf._01688_,189.24
rf._02221_,188.815
rf._05711_,188.29
rf._03324_,187.84
rf._05337_,187.32
rf._01589_,187.26
rf._01555_,187.03
rf._02000_,186.75
rf._03420_,186.34
rf._01568_,186.32
rf._01902_,186.3
rf._05491_,185.74
rf._01575_,185.54
rf._03898_,185.51
rf._03354_,185.38
net29,184.42
_040_,184.21
rf._03394_,184.04
rf._03349_,183.44
rf._03026_,183.08
rf._04663_,182.76
rf._03025_,182.41
_017_,182.35
rf._03956_,182.03
rf._01650_,181.77
rf._01474_,181.19
alu_inst.y\[4\],181.1
rf._01776_,180.8
rf._02138_,180.43
rf._03216_,180.38
rf._03337_,180.18
rf._01658_,179.82
rf._01703_,179.02
rf._03067_,178.96
rf._01460_,178.6
rf._03330_,178.48
rf._02828_,178.28
rf._02847_,177.76
rf._01651_,177.68
rf._02824_,177.31
rf._04836_,177.22
rf._04008_,176.94
rf._05722_,176.87
rf._03849_,176.29
rf._03468_,176.09
rf._03995_,175.85
rf._02813_,175.2
rf._05528_,175.12
rf._04000_,174.66
alu_inst.y\[0\],172.96
rf._01583_,172.74
rf._01586_,172.54
rf._03950_,172.13
rf._01463_,171.955
rf._03448_,171.91
alu_inst.y\[10\],171.73
alu_inst._170_,171.07
rf._01556_,170.64
rf._03996_,169.78
rf._01223_,168.7
net38,168.48
net117,168
rf._01892_,166.5
rf._02012_,166.14
_044_,166.02
net120,164.84
rf._01224_,164.12
rf._04834_,164.12
rf._03843_,163.26
rf._03452_,162.32
rf._01660_,161.96
rf._05130_,159.56
rf._03223_,159.38
alu_inst.y\[17\],158.22
_032_,157.64
alu_inst.y\[30\],157.48
rf._01025_,154.76
rf._01698_,153.2
alu_inst._173_,151.22
rf._01125_,150.94
net36,150.94
rf._02891_,148.32
rf._02916_,148.115
rf._03464_,147.56
rf._01997_,146.66
rf._01699_,146.5
rf._04612_,140.7
rf._01790_,140.62
rf._03463_,139.85
alu_inst._003_,139.54
rf._02810_,137.86
alu_inst.y\[2\],137.54
net40,136.7
rf.regs\[30\]\[9\],135.24
rf._01027_,133.07
rf._02533_,131.32
rf.regs\[30\]\[8\],130.5
rf._01373_,129.08
rf._01681_,128.48
clknet_leaf_32_clk,128.48
rf._02369_,128.22
rf._03581_,128.12
rf._04540_,127.82
rf._01736_,127.12
rf._01281_,127.06
alu_inst.y\[21\],126.84
rf._01842_,126.76
rf._01646_,125.98
rf._02084_,125.52
alu_inst._124_,125.02
rf._02263_,124.06
rf._02174_,124.02
rf._01976_,122.98
alu_inst.y\[31\],122.93
alu_inst._063_,122.4
rf._02342_,122.32
rf._01532_,121.96
rf._02198_,121.2
rf._02035_,120.84
rf._03528_,120.84
rf._01622_,119.88
alu_inst.y\[3\],119.7
rf._01034_,119.66
rf._01423_,119.34
rf._01817_,119.34
rf._03631_,119.32
rf._02288_,119.18
rf._03949_,118.9
rf._03478_,118.72
rf._01597_,118.7
rf._01869_,118.16
rf._02314_,117.84
rf._03899_,117.64
rf._03177_,117.48
alu_inst.a\[31\],117.1
rf._02116_,117.04
rf._02007_,116.42
clknet_leaf_86_clk,116.4
rf._03886_,116.39
rf._01345_,116.28
rf._02443_,116.2
rf._04160_,115.98
rf._02516_,115.92
rf.regs\[30\]\[5\],115.74
rf._02418_,115.34
rf._01762_,115.32
rf._01926_,115.08
rf._01181_,114.44
alu_inst.a\[30\],114.42
rf._03840_,114.34
rf._04113_,113.88
clknet_leaf_103_clk,113.74
alu_inst._058_,113.49
rf.regs\[30\]\[20\],113.3
rf._01399_,113.28
rf._04465_,112.94
alu_inst.y\[26\],112.9
rf._03417_,112.78
rf._02663_,112.68
clknet_leaf_53_clk,112.6
rf._01229_,112.46
rf._03791_,112.44
rf._02582_,112.4
rf._01483_,112.3
